order	shared author position	Author	Affiliation
1	co-first	Holly C. Beale	Department of Molecular, Cell and Developmental Biology; Genomics Institute
2	co-first	Katrina Learned	Genomics Institute
3	co-first	Ellen T. Kephart	Genomics Institute
4	NA	A. Geoffrey Lyle	Department of Molecular, Cell and Developmental Biology; Genomics Institute
5	NA	Anouk van den Bout	Department of Molecular, Cell and Developmental Biology; Genomics Institute
6	NA	Molly McCabe	Department of Molecular, Cell and Developmental Biology; Genomics Institute
7	NA	Kathryn Echandia-Monroe	Department of Molecular, Cell and Developmental Biology; Genomics Institute
8	NA	Mansi J Khare	Department of Molecular, Cell and Developmental Biology; Genomics Institute
9	NA	Elise Y. Huang	Department of Molecular, Cell and Developmental Biology; Genomics Institute
10	NA	Sheha Jariwala	Department of Molecular, Cell and Developmental Biology; Genomics Institute
11	NA	Reyna Antilla	Department of Molecular, Cell and Developmental Biology; Genomics Institute
12	NA	Allison Cheney	Department of Molecular, Cell and Developmental Biology; Genomics Institute
13	NA	Alex G. Lee	Division of Pediatric Oncology, University of California San Francisco, San Francisco, California, USA
14	NA	Leanne C. Sayles	Division of Pediatric Oncology, University of California San Francisco, San Francisco, California, USA
15	NA	Stanley G. Leung	Division of Radiation Oncology, University of California San Francisco, San Francisco, California, USA
16	NA	Yvonne A. Vasquez	Department of Molecular, Cell and Developmental Biology; Genomics Institute
17	NA	Lauren Sanders	Department of Molecular, Cell and Developmental Biology; Genomics Institute
18	NA	David Haussler	Department of Biomolecular Engineering; Genomics Institute; Howard Hughes Medical Institute
19	NA	Sofie R. Salama	Department of Biomolecular Engineering; Genomics Institute; Howard Hughes Medical Institute
20	NA	E. Alejandro Sweet-Cordero	Division of Pediatric Oncology, University of California San Francisco, San Francisco, California, USA
21	NA	Olena M. Vaske	Department of Molecular, Cell and Developmental Biology; Genomics Institute
